20 20
1 :3.559248  20 :6.551377  
193 :3.746574  212 :1.527922  
194 :0.711348  213 :2.523208  


197 :9.118041  216 :2.183174  
198 :5.951994  217 :5.193802  
199 :6.191786  218 :9.744097  
219 :4.614912  
201 :2.757914  220 :4.440463  

203 :1.220474  222 :0.189525  
204 :7.282755  223 :6.822889  
205 :7.821580  224 :2.314673  
206 :2.478577  225 :3.826179  
207 :3.294434  226 :4.641808  
208 :9.123656  227 :6.071876  
209 :9.355575  228 :4.745602  
210 :3.962179  229 :4.436825  
211 :8.128361  230 :2.770187  
212 :8.183398  231 :9.656283  
213 :3.481535  232 :0.706607  
214 :8.774324  233 :5.664708  


217 :6.658601  236 :3.968126  
218 :1.856495  237 :6.402698  
219 :8.583037  238 :4.614408  
239 :0.843162  
221 :9.803511  240 :4.803933  


224 :8.125917  243 :6.626401  
225 :2.625514  244 :0.440590  
226 :9.104978  245 :6.451692  
227 :3.735023  246 :3.746786  
228 :5.575349  247 :9.806899  
229 :3.102361  248 :0.320950  
230 :3.769079  249 :7.539185  
231 :8.449311  250 :6.539266  
232 :5.722584  251 :8.105594  
233 :0.020800  252 :6.429190  
234 :6.879917  253 :5.685508  


237 :3.087791  256 :0.848043  
238 :7.542003  257 :9.490490  
239 :9.431080  258 :2.156411  
259 :0.333651  
241 :9.234592  260 :6.960345  
242 :8.459568  261 :5.860993  



246 :9.585858  265 :8.900157  
247 :4.965970  266 :6.037550  
248 :2.635181  267 :8.712756  
249 :1.612899  268 :2.442080  
250 :1.815117  269 :1.933849  
251 :6.211158  270 :9.354302  
252 :0.383160  271 :2.750424  
253 :5.076886  272 :8.488753  
254 :2.771224  273 :1.506076  


257 :5.368671  276 :8.456732  
258 :4.593868  277 :6.216713  
259 :5.998735  278 :4.084357  
279 :5.647794  
261 :8.155147  280 :4.418008  
262 :4.882386  281 :5.115491  
263 :2.877576  282 :0.743378  
264 :4.701349  283 :1.777733  

266 :5.709348  285 :0.738900  
267 :4.412914  286 :4.422104  
268 :2.351799  287 :6.854994  
269 :6.237221  288 :4.285648  
270 :3.066152  289 :5.591523  
271 :4.668808  290 :5.816576  
272 :0.668409  291 :3.157561  
273 :8.587800  292 :2.174485  
274 :8.526232  293 :7.044532  


277 :6.768353  296 :4.742945  
278 :3.043268  297 :0.852710  
279 :0.390739  298 :1.198414  
299 :5.270718  
281 :5.273125  300 :6.313906  
282 :8.148295  301 :6.016503  
283 :1.015255  302 :9.926028  
284 :1.725851  303 :1.754155  


287 :4.338942  306 :6.147955  
288 :4.105953  307 :1.193936  
289 :2.385177  308 :8.391601  
290 :4.260088  309 :7.976700  
291 :3.060409  310 :0.076664  
292 :8.645109  311 :6.217970  
293 :8.664464  312 :0.819594  
294 :4.744202  313 :5.708996  
295 :7.587947  314 :9.487147  


298 :8.752264  317 :8.440658  
299 :9.877886  318 :9.950679  
319 :3.711376  
301 :5.151010  320 :6.264585  
302 :1.859671  321 :1.167513  
303 :7.279840  322 :1.785698  
304 :2.893364  323 :9.033995  
305 :6.124640  324 :9.041320  



309 :3.139948  328 :7.318576  
310 :1.426496  329 :1.531549  
311 :1.578663  330 :9.403196  
312 :4.591958  331 :1.655327  
313 :8.048305  332 :0.809928  





319 :0.319791  338 :8.867900  
339 :5.554130  
321 :6.028788  340 :6.455847  
322 :5.041277  341 :4.781052  
323 :4.896505  342 :4.919163  
324 :4.731731  343 :8.607881  
325 :0.070173  344 :0.996315  
326 :0.467551  345 :1.237686  
327 :8.276155  346 :2.253249  













341 :4.131050  360 :7.310150  
342 :8.377889  361 :3.172370  
343 :0.450098  362 :5.696465  
344 :4.598866  363 :1.981647  
345 :7.275128  364 :4.002062  
346 :6.573605  365 :8.930456  
347 :2.050367  366 :7.383533  
348 :9.250247  367 :0.918267  
349 :2.937663  368 :5.279035  



353 :7.374114  372 :7.978940  
354 :0.060087  373 :2.270619  


357 :2.898102  376 :4.791818  
358 :0.878499  377 :2.968275  
359 :5.788134  378 :1.346050  
379 :4.205962  
361 :4.064289  380 :3.599300  
362 :8.337012  381 :1.374439  
363 :1.977189  382 :1.509382  
364 :1.824536  383 :7.673654  
365 :6.108248  384 :3.806183  
366 :4.948782  385 :0.110310  
367 :0.379788  386 :3.879238  
368 :2.160677  387 :7.763321  
369 :3.129485  388 :3.078944  
370 :0.700984  389 :8.408520  
371 :0.453058  390 :8.679924  
372 :8.468608  391 :2.723677  
373 :1.578027  392 :3.260426  
374 :3.602176  393 :4.546302  
375 :9.048560  394 :4.948226  



379 :8.752263  398 :3.112848  
399 :8.547526  
381 :7.089275  
382 :4.487287  
383 :0.524715  
384 :8.598657  
385 :6.311823  
386 :8.198369  
387 :4.706904  
388 :0.118006  
389 :3.147151  
390 :4.817214  
391 :0.497795  
392 :7.026389  
393 :6.977892  
394 :8.261116  
395 :0.155874  
396 :0.056836  
397 :8.962101  



