30 30
1 :7.551945  30 :4.508824
208 :6.803262  237 :7.711575
209 :6.334452  238 :3.095665
239 :9.510613
211 :3.067166  240 :9.478884
212 :1.470897  241 :4.268737
213 :0.673823  242 :0.681017
214 :7.550742  243 :9.274429
215 :9.714938  244 :4.550162
216 :9.281558  245 :7.906056
217 :6.021643  246 :5.493173
218 :1.963417  247 :5.181267
219 :9.851301  248 :4.256165
220 :0.545731  249 :7.620695
221 :4.981448  250 :3.029890
222 :6.930946  251 :2.372735
223 :0.407233  252 :2.159685
224 :5.747060  253 :5.194857
225 :5.594387  254 :4.709793
226 :5.172945  255 :8.083535
227 :6.224812  256 :0.973714
228 :0.714971  257 :8.299995
229 :4.450550  258 :0.154980
230 :2.793553  259 :2.386479
231 :0.550336  260 :5.566650
232 :9.961771  261 :7.488107
233 :5.363014  262 :3.925416
234 :5.860873  263 :3.771273
235 :1.845282  264 :4.359571
236 :4.951015  265 :3.623226
237 :3.805485  266 :4.161313
238 :3.740948  267 :4.539298
239 :2.581823  268 :3.608884
269 :6.775660
241 :1.035095  270 :8.296131
242 :6.519048  271 :9.984921
243 :4.029508  272 :9.605714
244 :8.725896  273 :4.523710
245 :3.870765  274 :3.596568
246 :9.750606  275 :1.139993
247 :8.284101  276 :7.812966
248 :9.591276  277 :7.098006
249 :3.852425  278 :1.643662
250 :9.145474  279 :4.172615
251 :4.198632  280 :5.500559
252 :1.343223  281 :0.279407
253 :9.455268  282 :0.764876
254 :3.342691  283 :1.007107
255 :8.145128  284 :1.228977
256 :4.362362  285 :1.413110
257 :6.502447  286 :7.117173
258 :2.730080  287 :1.248574
259 :2.603247  288 :7.064222
260 :1.875280  289 :9.591403
261 :4.411857  290 :0.184025
262 :6.615270  291 :4.235627
263 :5.353431  292 :4.079397
264 :4.248212  293 :9.866099
265 :6.843911  294 :2.721494
266 :7.784902  295 :7.749369
267 :0.834080  296 :4.997613
268 :5.432256  297 :7.599202
269 :6.798251  298 :7.165151
299 :2.224327
271 :7.263133  300 :6.752499
272 :3.661988  301 :6.070539
273 :4.548675  302 :2.243160
274 :1.458410  303 :2.782291
275 :5.941927  304 :7.211016
276 :6.428613  305 :3.507641
277 :2.039743  306 :0.653998
278 :9.279067  307 :2.161597
279 :2.177106  308 :2.714891
280 :0.683245  309 :2.735665
281 :0.542871  310 :4.513039
282 :1.013580  311 :5.422613
283 :6.602433  312 :8.461786
284 :6.820894  313 :7.771295
285 :5.166243  314 :4.088963
286 :5.845454  315 :3.347020
287 :4.450549  316 :1.959556
288 :7.216150  317 :8.954065
289 :2.739411  318 :9.905087
290 :0.487410  319 :7.395012
291 :2.722095  320 :7.578968
292 :0.359074  321 :9.241695
293 :9.228239  322 :8.132316
294 :1.301998  323 :6.738231
295 :8.335387  324 :5.110211
296 :8.935823  325 :7.926184
297 :0.856669  326 :0.368704
298 :7.637343  327 :1.872888
299 :1.766709  328 :7.634962
329 :3.119496
301 :1.130373  330 :1.245593
302 :8.734030  331 :2.564868
303 :4.335811  332 :0.665938
304 :2.099417  333 :8.880142
305 :1.173348  334 :9.073872
306 :5.223485  335 :1.502624
307 :2.450256  336 :6.633166
308 :4.003160  337 :2.994233
309 :9.130368  338 :1.354171
310 :2.722836  339 :9.264356
311 :5.664694  340 :7.202505
312 :7.473817  341 :7.873294
313 :1.420813  342 :2.439092
314 :2.349493  343 :5.959733
315 :2.415282  344 :5.716899
316 :0.339188  345 :9.312512
317 :2.070266  346 :2.386823
318 :5.165520  347 :5.417168
319 :1.666699  348 :1.403554
320 :5.532964  349 :9.450701
321 :1.037746  350 :5.158053
322 :2.683865  351 :7.672132
323 :5.722088  352 :8.161043
324 :5.089111  353 :7.850671
325 :3.147281  354 :4.225670
326 :3.286402  355 :6.344720
327 :2.741308  356 :1.910683
328 :4.597618  357 :9.536910
329 :0.219166  358 :1.208086
359 :3.940811
331 :2.031953  360 :8.515296
332 :7.649421  361 :6.737420
333 :2.763539  362 :5.676252
334 :3.061707  363 :6.766870
335 :5.970182  364 :6.378860
336 :0.923954  365 :8.351009
337 :3.507586  366 :1.320607
338 :2.041533  367 :7.752004
339 :7.855585  368 :3.805259
340 :8.275842  369 :6.887506
341 :6.921469  370 :8.236224
342 :7.007917  371 :4.792446
343 :6.929085  372 :6.187489
344 :4.763503  373 :9.468892
345 :0.494622  374 :9.000271
346 :6.777644  375 :5.502072
347 :6.841636  376 :0.464193
348 :4.800346  377 :3.208130
349 :7.768767  378 :6.018287
350 :3.541980  379 :9.496490
351 :9.944821  380 :7.579037
352 :7.653016  381 :1.814595
353 :8.037297  382 :3.321092
354 :9.970300  383 :7.998416
355 :1.933023  384 :9.459725
356 :0.932182  385 :2.859581
357 :4.120483  386 :2.923796
358 :8.173565  387 :7.967906
359 :1.395869  388 :9.038039
389 :9.859289
361 :6.876562  390 :8.148368
362 :5.693941  391 :7.316132
363 :2.198096  392 :4.808028
364 :4.221949  393 :3.448229
365 :9.003633  394 :6.091158
366 :2.398796  395 :2.581513
367 :2.963697  396 :2.156622
368 :2.786654  397 :8.794764
369 :4.218638  398 :5.709124
370 :8.538830  399 :4.089836
371 :8.818713  400 :3.777395
372 :7.935049  401 :2.625118
373 :3.610350  402 :6.335080
374 :3.749979  403 :0.210387
375 :9.929747  404 :0.048696
376 :6.340076  405 :9.063919
377 :1.228192  406 :1.272068
378 :4.057785  407 :1.340888
379 :7.539757  408 :5.322255
380 :8.256177  409 :8.798565
381 :6.264074  410 :7.029669
382 :0.303895  411 :4.399747
383 :6.881255  412 :5.804448
384 :9.339295  413 :4.899274
385 :8.305688  414 :2.960882
386 :0.868845  415 :2.151854
387 :1.788851  416 :6.713424
388 :1.757826  417 :3.783571
389 :9.940273  418 :7.171873
419 :4.327582
391 :8.410063  420 :1.185867
392 :5.610592  421 :1.080165
393 :0.029751  422 :7.403358
394 :4.297513  423 :4.556394
395 :5.395296  424 :5.840742
396 :4.227118  425 :7.881483
397 :4.849052  426 :4.984176
398 :6.966857  427 :4.314840
399 :1.917021  428 :9.106175
400 :6.941475  429 :3.069615
401 :4.203524  430 :4.090011
402 :6.292530  431 :6.109518
403 :9.355861  432 :7.231538
404 :5.959843  433 :2.147222
405 :6.165261  434 :5.185792
406 :0.268935  435 :8.312783
407 :8.410342  436 :7.888896
408 :6.393712  437 :5.881361
409 :5.724485  438 :4.611684
410 :3.072721  439 :5.468988
411 :9.293923  440 :4.654542
412 :8.947939  441 :5.251169
413 :6.025983  442 :9.975638
414 :1.970366  443 :1.171763
415 :2.486576  444 :2.224086
416 :1.592090  445 :5.804446
417 :3.610154  446 :4.770263
418 :6.386469  447 :2.460707
419 :1.976991  448 :9.175992
449 :2.978849
421 :0.180896  450 :0.492288
422 :6.059484  451 :4.885788
423 :8.374131  452 :2.992384
424 :3.091458  453 :1.574899
425 :0.267695  454 :9.827089
426 :6.319250  455 :4.442168
427 :7.734705  456 :3.902120
428 :6.890584  457 :9.908626
429 :4.822442  458 :2.600022
430 :0.192864  459 :2.596630
431 :3.862944  460 :2.326060
432 :1.211441  461 :8.569841
433 :3.221614  462 :8.812606
434 :4.119364  463 :5.803972
435 :6.454465  464 :9.210658
436 :2.942904  465 :5.550768
437 :7.110571  466 :9.528112
438 :3.210688  467 :4.480198
439 :4.162479  468 :7.359175
440 :9.266464  469 :4.818745
441 :3.017542  470 :6.377602
442 :6.946940  471 :8.844265
443 :6.985236  472 :7.720839
444 :5.996283  473 :3.802864
445 :3.903389  474 :4.358999
446 :3.418758  475 :5.820463
447 :5.712573  476 :5.075650
448 :1.783718  477 :4.681330
449 :7.782338  478 :2.821610
479 :7.031162
451 :7.741507  480 :5.930706
452 :5.874837  481 :8.501998
453 :8.257580  482 :5.888193
454 :2.596080  483 :0.851588
455 :2.095092  484 :0.647553
456 :2.666491  485 :8.422255
457 :9.282947  486 :0.038105
458 :0.521358  487 :3.778939
459 :1.109223  488 :0.023964
460 :3.361272  489 :3.196011
461 :9.011577  490 :6.847010
462 :1.797992  491 :6.715129
463 :4.821791  492 :2.444598
464 :6.971593  493 :7.441925
465 :4.049111  494 :2.195917
466 :2.794541  495 :4.249711
467 :4.171097  496 :9.584851
468 :1.168356  497 :9.229784
469 :0.750444  498 :1.203617
470 :2.418656  499 :3.410249
471 :5.530538  500 :2.498658
472 :3.321437  501 :9.054290
473 :3.828195  502 :1.055617
474 :6.324531  503 :4.874912
475 :4.301971  504 :4.132645
476 :4.772234  505 :4.375940
477 :5.207609  506 :2.517870
478 :7.470399  507 :8.553834
479 :1.723992  508 :9.632579
509 :3.503573
481 :7.529929  510 :2.909858
482 :3.352099  511 :1.572452
483 :5.904588  512 :2.289147
484 :2.555093  513 :7.548779
485 :7.991376  514 :7.415641
486 :6.322210  515 :7.708572
487 :7.515543  516 :9.426343
488 :6.249805  517 :8.216960
489 :2.438380  518 :9.014801
490 :8.050698  519 :5.669638
491 :7.564796  520 :6.686641
492 :5.304107  521 :8.435578
493 :1.153854  522 :5.801379
494 :0.781634  523 :0.959828
495 :3.136854  524 :0.989764
496 :4.318046  525 :7.523441
497 :1.204883  526 :3.439664
498 :0.564809  527 :5.409474
499 :6.892841  528 :9.091881
500 :3.823165  529 :2.828164
501 :1.712579  530 :9.473287
502 :4.478478  531 :1.628771
503 :9.347420  532 :8.819903
504 :5.798561  533 :8.892602
505 :8.811107  534 :6.026950
506 :5.894061  535 :0.163445
507 :8.382388  536 :0.590726
508 :1.594079  537 :7.536357
509 :9.447390  538 :3.857321
539 :5.800459
511 :4.138913  540 :9.939678
512 :3.589413  541 :0.816495
513 :1.726230  542 :1.494383
514 :8.996047  543 :7.463091
515 :2.822788  544 :0.678676
516 :4.310626  545 :5.089721
517 :4.056915  546 :2.324375
518 :4.406127  547 :9.946731
519 :1.072247  548 :6.378962
520 :2.631243  549 :2.620593
521 :1.913641  550 :5.522070
522 :8.776237  551 :5.416851
523 :8.525721  552 :5.527735
524 :5.273218  553 :8.248570
525 :7.236099  554 :6.652584
526 :6.079758  555 :7.746685
527 :1.428617  556 :3.777823
528 :4.415570  557 :4.065049
529 :4.727287  558 :6.588960
530 :6.159305  559 :6.022361
531 :6.840707  560 :9.787851
532 :8.659518  561 :1.342922
533 :1.463714  562 :6.775129
534 :5.343704  563 :4.858481
535 :9.701950  564 :9.233911
536 :2.229865  565 :9.953108
537 :1.606634  566 :9.451591
538 :0.166106  567 :7.199199
539 :9.376417  568 :1.375444
569 :6.663741
541 :2.170755  570 :5.307123
542 :0.013750  571 :1.411857
543 :1.846993  572 :7.460645
544 :4.322310  573 :3.140734
545 :1.091138  574 :8.196331
546 :5.489279  575 :5.837896
547 :3.593573  576 :7.746677
548 :4.578273  577 :3.205282
549 :5.515350  578 :8.240923
550 :4.433519  579 :2.210811
551 :1.642820  580 :2.516648
552 :3.711634  581 :3.401769
553 :3.598028  582 :0.880175
554 :5.497314  583 :3.243305
555 :9.322329  584 :3.155745
556 :0.030640  585 :5.239475
557 :0.250855  586 :7.108292
558 :2.596973  587 :2.669448
559 :5.166015  588 :6.613090
560 :7.145943  589 :2.502130
561 :1.689843  590 :5.326821
562 :0.162144  591 :8.527577
563 :2.487713  592 :2.684388
564 :7.788245  593 :3.694815
565 :9.645675  594 :3.025246
566 :4.474184  595 :0.402890
567 :7.437474  596 :2.681314
568 :9.077033  597 :9.144561
569 :1.890098  598 :7.168937
599 :7.360895
571 :3.250531  600 :4.799956
572 :5.522854  601 :1.512130
573 :5.918339  602 :3.105641
574 :4.402086  603 :9.043161
575 :2.313686  604 :4.878732
576 :7.413348  605 :8.387249
577 :3.004821  606 :4.516064
578 :9.843378  607 :0.541335
579 :7.016653  608 :8.961532
580 :3.566047  609 :2.048599
581 :1.998315  610 :9.307234
582 :6.946927  611 :3.957648
583 :4.865487  612 :1.218231
584 :4.379662  613 :6.487563
585 :8.634168  614 :9.238334
586 :3.640375  615 :4.176025
587 :1.235523  616 :1.186349
588 :0.815664  617 :9.187297
589 :9.489814  618 :3.156930
590 :8.989180  619 :9.417123
591 :8.858522  620 :5.495648
592 :6.168321  621 :1.416621
593 :9.509565  622 :0.162825
594 :8.286274  623 :5.667731
595 :6.599351  624 :0.885431
596 :5.539736  625 :9.397356
597 :2.856572  626 :0.543834
598 :9.031553  627 :6.987948
599 :8.524423  628 :1.056521
629 :7.175903
601 :9.932810  630 :8.464101
602 :6.839944  631 :6.123617
603 :7.249085  632 :2.906239
604 :4.914385  633 :4.923737
605 :7.224874  634 :3.819411
606 :6.624311  635 :3.286052
607 :1.470263  636 :8.162272
608 :7.410948  637 :7.693409
609 :0.915625  638 :9.584244
610 :9.647896  639 :0.861517
611 :5.479689  640 :7.732882
612 :0.774552  641 :7.933499
613 :5.472648  642 :8.929504
614 :0.138705  643 :9.128746
615 :1.615762  644 :9.895888
616 :4.713926  645 :0.902431
617 :5.068992  646 :9.017298
618 :5.651093  647 :1.173341
619 :5.542951  648 :9.258407
620 :5.649119  649 :2.635451
621 :5.829887  650 :2.289981
622 :7.518040  651 :6.669744
623 :7.632034  652 :5.302706
624 :4.853268  653 :7.542869
625 :7.988224  654 :2.928726
626 :8.829216  655 :2.978354
627 :7.146370  656 :9.854481
628 :3.022678  657 :9.880514
629 :8.407969  658 :0.520005
659 :3.832678
631 :1.554884  660 :3.715092
632 :9.946560  661 :6.211813
633 :8.686937  662 :8.972776
634 :1.571394  663 :6.246375
635 :6.005524  664 :7.239493
636 :2.714153  665 :0.716629
637 :0.217884  666 :6.133926
638 :6.048536  667 :7.721346
639 :2.926298  668 :8.782258
640 :5.349144  669 :1.172343
641 :1.290717  670 :4.565248
642 :9.191323  671 :2.709004
643 :4.372580  672 :4.837824
644 :0.969962  673 :4.461535
645 :9.461034  674 :9.643308
646 :1.646402  675 :4.477809
647 :4.964781  676 :1.284316
648 :7.665966  677 :3.855797
649 :0.817108  678 :5.800387
650 :2.688894  679 :5.659060
651 :7.338963  680 :4.743945
652 :5.992032  681 :4.023225
653 :0.005753  682 :4.101009
654 :5.420279  683 :3.857640
655 :4.498943  684 :8.692977
656 :2.462408  685 :1.288322
657 :6.266690  686 :2.078670
658 :6.223403  687 :9.688395
659 :4.912776  688 :4.156885
689 :8.417416
661 :2.212104  690 :9.712733
662 :7.077738  691 :9.976232
663 :5.864899  692 :9.229258
664 :3.089022  693 :1.949400
665 :3.885080  694 :9.802469
666 :3.418872  695 :2.206659
667 :5.718974  696 :7.802116
668 :0.061262  697 :8.703607
669 :3.065189  698 :6.654941
670 :6.492346  699 :1.632844
671 :7.347459  700 :0.168751
672 :8.237644  701 :1.690530
673 :4.056810  702 :9.151730
674 :8.752242  703 :5.417067
675 :9.604130  704 :8.367080
676 :3.101410  705 :4.071913
677 :2.881925  706 :2.088780
678 :5.780445  707 :8.204594
679 :7.155780  708 :4.330271
680 :9.806288  709 :8.675530
681 :1.547416  710 :8.131100
682 :3.507283  711 :3.706602
683 :5.501596  712 :6.832569
684 :8.292028  713 :0.970437
685 :2.019630  714 :8.428300
686 :0.038679  715 :2.326083
687 :5.318981  716 :3.522188
688 :5.298243  717 :6.842429
689 :4.747826  718 :0.937035
719 :7.695908
691 :4.207823  720 :3.211928
692 :9.052048  721 :9.838709
693 :4.326823  722 :9.118053
694 :0.779284  723 :3.896512
695 :0.313896  724 :0.065786
696 :0.509391  725 :0.525545
697 :4.889135  726 :8.878900
698 :3.129922  727 :3.827335
699 :0.976887  728 :7.305591
700 :2.713086  729 :9.643775
701 :1.972034  730 :8.905225
702 :8.122011  731 :2.498747
703 :3.710291  732 :1.638508
704 :4.195515  733 :3.966569
705 :0.368004  734 :4.357424
706 :4.318056  735 :0.545739
707 :8.170402  736 :3.495107
708 :8.533018  737 :2.457657
709 :1.323395  738 :3.114204
710 :2.804899  739 :8.435838
711 :5.636175  740 :7.949041
712 :9.065456  741 :1.413688
713 :1.139318  742 :9.325931
714 :0.354865  743 :1.643878
715 :6.280252  744 :6.786367
716 :0.848847  745 :1.671331
717 :7.185049  746 :1.142803
718 :8.341659  747 :1.959184
719 :3.706213  748 :0.208400
749 :7.989563
721 :6.656681  750 :7.421305
722 :4.154383  751 :5.924546
723 :7.738985  752 :8.949007
724 :5.898217  753 :5.475634
725 :6.784808  754 :9.188893
726 :3.028048  755 :0.519098
727 :0.727276  756 :8.340585
728 :0.937672  757 :5.523462
729 :6.056221  758 :7.485865
730 :6.326030  759 :7.827284
731 :4.003802  760 :6.198091
732 :1.163357  761 :2.877754
733 :2.494590  762 :6.528353
734 :4.680253  763 :3.613265
735 :3.656550  764 :5.060376
736 :2.014406  765 :2.844889
737 :9.282837  766 :5.356229
738 :5.836368  767 :5.944576
739 :9.350126  768 :4.004981
740 :4.012289  769 :9.989331
741 :0.143862  770 :3.419475
742 :1.628206  771 :2.154325
743 :9.071209  772 :7.807612
744 :6.559597  773 :0.690210
745 :4.853808  774 :9.663414
746 :8.742660  775 :9.716622
747 :7.115537  776 :4.404753
748 :3.408452  777 :3.210583
749 :3.254435  778 :0.999314
779 :9.354450
751 :1.572943  780 :2.967168
752 :3.734419  781 :3.188159
753 :0.019282  782 :9.067967
754 :0.828007  783 :1.067453
755 :9.783297  784 :3.698981
756 :0.203680  785 :2.272445
757 :8.747022  786 :8.327661
758 :0.788538  787 :7.582507
759 :4.002861  788 :0.482275
760 :2.548566  789 :8.938434
761 :3.673489  790 :9.812526
762 :2.241446  791 :0.595755
763 :5.220167  792 :1.650477
764 :1.246832  793 :7.055575
765 :4.284383  794 :2.333649
766 :6.757959  795 :8.429337
767 :4.896331  796 :2.634519
768 :5.063282  797 :1.699701
769 :2.992147  798 :6.787928
770 :9.156414  799 :1.789734
771 :5.559705  800 :6.566938
772 :3.651145  801 :1.655644
773 :7.129802  802 :8.246257
774 :7.363237  803 :0.296368
775 :8.579227  804 :0.072178
776 :4.892487  805 :9.112449
777 :4.061641  806 :5.193520
778 :2.413780  807 :7.985232
779 :8.156278  808 :2.896219
809 :7.904307
781 :6.883310  810 :1.368206
782 :0.624991  811 :7.260014
783 :8.061241  812 :5.042598
784 :0.798566  813 :2.845520
785 :1.141903  814 :5.541419
786 :0.292689  815 :9.714438
787 :5.092815  816 :9.397998
788 :1.876945  817 :2.167920
789 :1.765425  818 :2.829053
790 :6.715947  819 :7.129640
791 :4.520600  820 :6.732509
792 :1.795499  821 :8.696838
793 :5.951737  822 :4.516262
794 :9.415682  823 :0.494922
795 :1.614836  824 :7.970689
796 :8.602439  825 :5.606115
797 :4.928362  826 :6.339996
798 :3.429349  827 :7.813886
799 :6.386677  828 :9.058780
800 :5.797046  829 :2.440819
801 :4.792589  830 :7.938373
802 :4.625161  831 :4.833163
803 :4.790463  832 :1.480256
804 :7.484667  833 :9.451490
805 :3.643488  834 :7.476576
806 :9.428074  835 :1.334745
807 :2.077536  836 :0.859425
808 :2.403300  837 :6.363937
809 :6.119993  838 :3.418983
839 :8.988877
811 :3.403697  840 :3.541298
812 :1.037694  841 :8.891714
813 :8.363976  842 :2.137167
814 :3.959458  843 :4.543601
815 :7.583374  844 :0.256346
816 :4.169951  845 :4.218079
817 :1.019965  846 :0.613030
818 :6.030487  847 :3.851123
819 :7.933165  848 :5.068371
820 :8.091455  849 :8.309559
821 :0.719749  850 :5.136525
822 :5.683957  851 :2.690280
823 :4.290090  852 :7.124108
824 :0.631991  853 :5.263743
825 :3.072232  854 :2.115951
826 :3.629241  855 :5.178537
827 :7.885276  856 :3.785566
828 :0.764729  857 :8.579095
829 :2.779475  858 :5.704682
830 :0.398966  859 :6.777259
831 :5.940908  860 :5.209209
832 :6.420795  861 :8.721263
833 :3.696370  862 :9.463256
834 :1.350060  863 :8.936467
835 :2.338475  864 :9.959782
836 :2.386148  865 :9.788800
837 :6.543611  866 :3.517202
838 :5.485988  867 :8.404103
839 :5.657735  868 :8.984546
869 :2.250669
841 :9.234796  870 :8.624903
842 :7.138116  871 :4.556365
843 :1.056976  872 :6.327981
844 :9.191983  873 :6.110052
845 :3.742755  874 :6.544501
846 :7.787054  875 :7.813864
847 :2.916974  876 :8.042098
848 :1.808503  877 :6.980504
849 :0.033349  878 :2.650195
850 :0.481731  879 :1.767487
851 :1.764944  880 :6.942165
852 :2.961195  881 :7.328264
853 :0.904124  882 :0.347316
854 :5.536922  883 :1.571837
855 :4.916374  884 :2.828571
856 :9.830191  885 :6.400025
857 :8.525572  886 :8.240634
858 :2.948558  887 :8.039697
859 :3.756877  888 :4.601814
860 :1.935889  889 :0.848514
861 :5.958671  890 :9.007757
862 :9.592053  891 :9.594017
863 :3.550597  892 :3.079421
864 :1.059607  893 :1.776623
865 :9.929287  894 :9.523668
866 :7.230961  895 :6.589026
867 :6.447789  896 :6.528265
868 :8.957391  897 :8.844657
869 :3.642266  898 :9.260156
899 :1.323290
871 :2.848699  
872 :9.859787  
873 :5.199357  
874 :1.855542  
875 :0.333886  
876 :4.035444  
877 :2.879869  
878 :4.793918  
879 :3.573928  
880 :6.749295  
881 :5.002332  
882 :3.560444  
883 :8.912932  
884 :0.319806  
885 :7.151758  
886 :3.518813  
887 :4.758553  
888 :1.954921  
889 :9.335235  
890 :9.553923  
891 :6.728477  
892 :0.583832  
893 :4.382516  
894 :1.035264  
895 :4.703095  
896 :9.357361  
897 :9.308497  
898 :8.851089  
899 :5.077384  

